project, commit, job_num, status, all_test_time, all_total_time, all_test_num, all_log, sta_test_time, sta_total_time, sta_test_num, sta_cache_size, sta_log
compile-testing, fe6edd8e9aa9, 1, 0, 12, 39, 13, https://api.travis-ci.org/jobs/316231015/log, 19, 134, 13, 8212, https://api.travis-ci.org/jobs/316233448/log
compile-testing, 8e9ce9ed188d, 1, 0, 13, 45, 13, https://api.travis-ci.org/jobs/316231023/log, 16, 131, 13, 8364, https://api.travis-ci.org/jobs/316233478/log
compile-testing, 4006c15450d5, 1, 0, 15, 107, 13, https://api.travis-ci.org/jobs/316231079/log, 20, 101, 13, 8264, https://api.travis-ci.org/jobs/316233521/log
compile-testing, bf97f425cb93, 1, 0, 12, 43, 13, https://api.travis-ci.org/jobs/316231106/log, 47, 140, 13, 8264, https://api.travis-ci.org/jobs/316233538/log
compile-testing, e5e4eef1f1f5, 1, 0, 21, 61, 13, https://api.travis-ci.org/jobs/316231137/log, 19, 69, 13, 8268, https://api.travis-ci.org/jobs/316233559/log
compile-testing, 4dd5fde614e1, 1, 0, 12, 40, 13, https://api.travis-ci.org/jobs/316231166/log, 17, 72, 13, 8376, https://api.travis-ci.org/jobs/316233676/log
compile-testing, 0ef7e5e4ab26, 1, 0, 13, 105, 13, https://api.travis-ci.org/jobs/316231200/log, 17, 66, 13, 8480, https://api.travis-ci.org/jobs/316233717/log
compile-testing, c2f3634bcc10, 1, 0, 25, 135, 13, https://api.travis-ci.org/jobs/316231270/log, 22, 78, 13, 11060, https://api.travis-ci.org/jobs/316233756/log
compile-testing, cc5a56776c0f, 1, 0, 12, 42, 13, https://api.travis-ci.org/jobs/316231292/log, 16, 70, 13, 11060, https://api.travis-ci.org/jobs/316233795/log
compile-testing, 724d44759e35, 1, 0, 11, 41, 13, https://api.travis-ci.org/jobs/316231300/log, 17, 131, 5, 11060, https://api.travis-ci.org/jobs/316233845/log
commons-cli, 19849509da2a, 1, 0, 17, 67, 28, https://api.travis-ci.org/jobs/316248538/log, 22, 95, 0, 232, https://api.travis-ci.org/jobs/316252899/log
commons-cli, 9bdb3dbe184a, 1, 0, 27, 124, 28, https://api.travis-ci.org/jobs/316248586/log, 21, 127, 0, 232, https://api.travis-ci.org/jobs/316252903/log
commons-cli, 282bdb621677, 1, 0, 25, 101, 28, https://api.travis-ci.org/jobs/316248705/log, 22, 101, 28, 232, https://api.travis-ci.org/jobs/316252913/log
commons-cli, ac94e03a15ff, 1, 0, 20, 99, 28, https://api.travis-ci.org/jobs/316248757/log, 22, 97, 28, 232, https://api.travis-ci.org/jobs/316252956/log
commons-cli, 16bc20480830, 1, 0, 21, 79, 28, https://api.travis-ci.org/jobs/316248763/log, 22, 101, 28, 232, https://api.travis-ci.org/jobs/316253000/log
commons-cli, 04697739edb6, 1, 0, 26, 129, 28, https://api.travis-ci.org/jobs/316248797/log, 19, 169, 0, 232, https://api.travis-ci.org/jobs/316253028/log
commons-cli, de5f2b46fa95, 1, 0, 17, 74, 28, https://api.travis-ci.org/jobs/316248841/log, 28, 138, 0, 232, https://api.travis-ci.org/jobs/316253053/log
commons-cli, 76b2750312cf, 1, 0, 17, 79, 28, https://api.travis-ci.org/jobs/316248938/log, 29, 132, 0, 232, https://api.travis-ci.org/jobs/316253071/log
commons-cli, bf43d4ed4639, 1, 0, 40, 101, 28, https://api.travis-ci.org/jobs/316248954/log, 32, 239, 0, 232, https://api.travis-ci.org/jobs/316253089/log
commons-cli, 2392ae8afc08, 1, 0, 27, 86, 28, https://api.travis-ci.org/jobs/316248975/log, 34, 104, 0, 232, https://api.travis-ci.org/jobs/316253112/log
logstash-logback-encoder, 2ae51b169cc1, 1, 0, 13, 49, 48, https://api.travis-ci.org/jobs/316248999/log, 16, 99, 10, 7060, https://api.travis-ci.org/jobs/316253209/log
logstash-logback-encoder, 2a80a2ebbeec, 1, 0, 12, 46, 48, https://api.travis-ci.org/jobs/316249008/log, 18, 120, 10, 7060, https://api.travis-ci.org/jobs/316253225/log
logstash-logback-encoder, 901cabd86803, 1, 0, 14, 56, 48, https://api.travis-ci.org/jobs/316249074/log, 7, 83, 0, 7060, https://api.travis-ci.org/jobs/316253230/log
logstash-logback-encoder, 57b922818136, 1, 0, 20, 72, 48, https://api.travis-ci.org/jobs/316249134/log, 7, 59, 0, 7060, https://api.travis-ci.org/jobs/316253245/log
logstash-logback-encoder, 42e5575365ad, 1, 0, 12, 144, 48, https://api.travis-ci.org/jobs/316249216/log, 8, 106, 0, 7060, https://api.travis-ci.org/jobs/316253265/log
logstash-logback-encoder, 815f90d3c56a, 1, 0, 20, 72, 48, https://api.travis-ci.org/jobs/316249293/log, 12, 91, 0, 7060, https://api.travis-ci.org/jobs/316253275/log
logstash-logback-encoder, 40d9b6a9b5b7, 1, 0, 17, 78, 48, https://api.travis-ci.org/jobs/316249338/log, 8, 59, 0, 7060, https://api.travis-ci.org/jobs/316253294/log
logstash-logback-encoder, 208ebc3190ec, 1, 0, 20, 148, 48, https://api.travis-ci.org/jobs/316249342/log, 12, 68, 2, 7060, https://api.travis-ci.org/jobs/316253330/log
logstash-logback-encoder, d67b08146702, 1, 0, 12, 52, 48, https://api.travis-ci.org/jobs/316249375/log, 28, 143, 9, 7016, https://api.travis-ci.org/jobs/316253412/log
commons-fileupload, 180f6138b185, 1, 1, -1, -1, -1, https://api.travis-ci.org/jobs/316250465/log, 16, 137, 12, 444, https://api.travis-ci.org/jobs/316254256/log
commons-fileupload, cae90facebc5, 1, 0, 14, 117, 15, https://api.travis-ci.org/jobs/316250778/log, 17, 103, 8, 444, https://api.travis-ci.org/jobs/316254600/log
commons-validator, 946da9d66480, 1, 0, 16, 126, 70, https://api.travis-ci.org/jobs/316249802/log, 17, 83, 70, 1020, https://api.travis-ci.org/jobs/316279788/log
commons-validator, e88831c23676, 1, 0, 13, 72, 70, https://api.travis-ci.org/jobs/316249804/log, 16, 85, 6, 1020, https://api.travis-ci.org/jobs/316280256/log
commons-validator, 7f44071c6289, 1, 0, 11, 62, 70, https://api.travis-ci.org/jobs/316249830/log, 8, 63, 0, 1020, https://api.travis-ci.org/jobs/316280794/log
commons-validator, f9886befb7b8, 1, 0, 10, 66, 70, https://api.travis-ci.org/jobs/316249859/log, 8, 65, 0, 1020, https://api.travis-ci.org/jobs/316281400/log
commons-validator, 82cfbe685ebf, 1, 0, 10, 62, 70, https://api.travis-ci.org/jobs/316249957/log, 8, 82, 0, 1020, https://api.travis-ci.org/jobs/316281877/log
commons-validator, d4fca5edf6b3, 1, 0, 13, 86, 70, https://api.travis-ci.org/jobs/316249980/log, 13, 102, 0, 1020, https://api.travis-ci.org/jobs/316282353/log
commons-validator, 2ffd47c332f4, 1, 0, 10, 56, 70, https://api.travis-ci.org/jobs/316250019/log, 16, 89, 24, 1148, https://api.travis-ci.org/jobs/316282973/log
commons-validator, cc16fba7eb26, 1, 0, 13, 91, 70, https://api.travis-ci.org/jobs/316250057/log, 20, 100, 70, 1172, https://api.travis-ci.org/jobs/316283626/log
commons-validator, b702664be094, 1, 0, 11, 98, 70, https://api.travis-ci.org/jobs/316250187/log, 15, 101, 24, 1172, https://api.travis-ci.org/jobs/316284208/log
commons-validator, debe33db276d, 1, 0, 15, 86, 70, https://api.travis-ci.org/jobs/316250231/log, 9, 77, 0, 1172, https://api.travis-ci.org/jobs/316284833/log
commons-dbutils, 920642362c32, 1, 1, -1, 64, -1, https://api.travis-ci.org/jobs/316249473/log, -1, 92, -1, N/A, https://api.travis-ci.org/jobs/316253512/log
commons-dbutils, d7181205fdfb, 1, 1, -1, 72, -1, https://api.travis-ci.org/jobs/316249476/log, -1, 101, -1, N/A, https://api.travis-ci.org/jobs/316253514/log
commons-dbutils, 469d4a85c0bd, 1, 1, -1, 55, -1, https://api.travis-ci.org/jobs/316249493/log, -1, 110, -1, N/A, https://api.travis-ci.org/jobs/316253555/log
commons-dbutils, 5dad81322639, 1, 1, -1, 58, -1, https://api.travis-ci.org/jobs/316249520/log, -1, 83, -1, N/A, https://api.travis-ci.org/jobs/316253563/log
commons-dbutils, ea94faec8299, 1, 1, -1, 115, -1, https://api.travis-ci.org/jobs/316249576/log, -1, 137, -1, N/A, https://api.travis-ci.org/jobs/316253585/log
commons-dbutils, 0e6405a12f74, 1, 1, -1, 128, -1, https://api.travis-ci.org/jobs/316249602/log, -1, 114, -1, N/A, https://api.travis-ci.org/jobs/316253617/log
commons-dbutils, 3b2361e7be05, 1, 1, -1, 98, -1, https://api.travis-ci.org/jobs/316249641/log, -1, 102, -1, N/A, https://api.travis-ci.org/jobs/316253691/log
commons-dbutils, 007dbf733fb9, 1, 1, -1, 76, -1, https://api.travis-ci.org/jobs/316249691/log, -1, 128, -1, N/A, https://api.travis-ci.org/jobs/316253768/log
commons-dbutils, 062a9ed46749, 1, 1, -1, 77, -1, https://api.travis-ci.org/jobs/316249723/log, -1, 127, -1, N/A, https://api.travis-ci.org/jobs/316253788/log
commons-dbutils, 084f286a0d7f, 1, 1, -1, 83, -1, https://api.travis-ci.org/jobs/316249759/log, -1, 117, -1, N/A, https://api.travis-ci.org/jobs/316253828/log
commons-fileupload, 180f6138b185, 1, 1, -1, -1, -1, https://api.travis-ci.org/jobs/316250465/log, 16, 137, 12, 444, https://api.travis-ci.org/jobs/316254256/log
commons-fileupload, cae90facebc5, 1, 0, 14, 117, 15, https://api.travis-ci.org/jobs/316250778/log, 17, 103, 8, 444, https://api.travis-ci.org/jobs/316254600/log
commons-collections, b9e2a97758ba, 1, 0, 50, 130, 165, https://api.travis-ci.org/jobs/316251492/log, 65, 248, 165, 3200, https://api.travis-ci.org/jobs/316255341/log
commons-collections, 1bcfa1cc8788, 1, 0, 48, 126, 165, https://api.travis-ci.org/jobs/316251547/log, 66, 229, 165, 3200, https://api.travis-ci.org/jobs/316255343/log
commons-collections, 07de4dd57872, 1, 0, 51, 182, 165, https://api.travis-ci.org/jobs/316251590/log, 64, 155, 165, 3200, https://api.travis-ci.org/jobs/316255355/log
commons-collections, b15deac11af9, 1, 0, 62, 163, 165, https://api.travis-ci.org/jobs/316251597/log, 70, 167, 165, 3200, https://api.travis-ci.org/jobs/316255414/log
commons-collections, 87417154f28a, 1, 0, 72, 192, 165, https://api.travis-ci.org/jobs/316251613/log, 65, 216, 0, 3200, https://api.travis-ci.org/jobs/316255456/log
commons-collections, 641aa1c663eb, 1, 0, 54, 175, 165, https://api.travis-ci.org/jobs/316251633/log, 58, 160, 1, 3392, https://api.travis-ci.org/jobs/316255491/log
commons-collections, b9522976f462, 1, 0, 64, 165, 165, https://api.travis-ci.org/jobs/316251649/log, 74, 219, 1, 3392, https://api.travis-ci.org/jobs/316255535/log
commons-collections, be6789ced667, 1, 0, 54, 143, 165, https://api.travis-ci.org/jobs/316251706/log, 75, 250, 1, 3392, https://api.travis-ci.org/jobs/316255548/log
commons-collections, 94cfcc6989af, 1, 0, 52, 169, 165, https://api.travis-ci.org/jobs/316251748/log, 50, 159, 1, 3392, https://api.travis-ci.org/jobs/316255568/log
commons-collections, 0b1460dadb59, 1, 0, 63, 198, 165, https://api.travis-ci.org/jobs/316251789/log, 45, 159, 0, 3392, https://api.travis-ci.org/jobs/316255630/log
commons-codec, e08c12f7216d, 1, 0, 30, 114, 54, https://api.travis-ci.org/jobs/316251813/log, 52, 169, 54, 460, https://api.travis-ci.org/jobs/316255699/log
commons-codec, bc33e591299b, 1, 0, 39, 113, 54, https://api.travis-ci.org/jobs/316251819/log, 49, 146, 54, 460, https://api.travis-ci.org/jobs/316255703/log
commons-codec, cada56911823, 1, 0, 31, 101, 54, https://api.travis-ci.org/jobs/316251832/log, 38, 121, 54, 460, https://api.travis-ci.org/jobs/316255705/log
commons-codec, ff57a6275117, 1, 0, 51, 158, 54, https://api.travis-ci.org/jobs/316251852/log, 32, 155, 8, 460, https://api.travis-ci.org/jobs/316255721/log
commons-codec, 8707fddee27d, 1, 0, 30, 133, 54, https://api.travis-ci.org/jobs/316251869/log, 29, 151, 8, 460, https://api.travis-ci.org/jobs/316255737/log
commons-codec, 3d9bb608a1fa, 1, 0, 30, 113, 54, https://api.travis-ci.org/jobs/316251913/log, 28, 151, 8, 460, https://api.travis-ci.org/jobs/316255864/log
commons-codec, 94103690e20c, 1, 0, 60, 182, 54, https://api.travis-ci.org/jobs/316251946/log, 36, 141, 8, 460, https://api.travis-ci.org/jobs/316255906/log
commons-codec, 2c66bceaa7c1, 1, 0, 37, 137, 54, https://api.travis-ci.org/jobs/316251974/log, 32, 141, 8, 460, https://api.travis-ci.org/jobs/316255939/log
commons-codec, 2eabe0ca39e7, 1, 0, 38, 118, 54, https://api.travis-ci.org/jobs/316252005/log, 27, 116, 0, 460, https://api.travis-ci.org/jobs/316255951/log
commons-codec, 5e6b2cedbb61, 1, 0, 29, 93, 54, https://api.travis-ci.org/jobs/316252030/log, 32, 145, 0, 460, https://api.travis-ci.org/jobs/316255991/log